subset,repo,group,release,file_id,path_rel,loc_total,block_count,blocks_per_file,blocks_per_kloc
core,ipython,old_2000s,0.10.1,c1fdb5c378c476c4b865539e20bc0e6d5ed4a455,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/frontendbase.py,343,7,7.0,20.408163265306122
core,ipython,old_2000s,0.10.1,cf6863dac0d0d244feaf26548075c2a9200a6f85,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/linefrontendbase.py,372,24,24.0,64.51612903225806
core,ipython,old_2000s,0.10.1,1d1d647f7c4b4ae4acf3fb2c72eb8f690d05fad4,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/prefilterfrontend.py,285,23,23.0,80.70175438596492
core,ipython,old_2000s,0.10.1,dbd83a7acec0d05115693891ddd83065b94409c2,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/zopeinterface.py,27,3,3.0,111.11111111111111
core,ipython,old_2000s,0.10.1,8b8f0ea2d863d983fbda3c16eb2a564f60f65e99,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/wx/console_widget.py,624,63,63.0,100.96153846153847
core,ipython,old_2000s,0.10.1,18e555c65c1ef1aa87ea86468419bb6f41957d9e,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/wx/ipythonx.py,119,3,3.0,25.210084033613448
core,ipython,old_2000s,0.10.1,862db9d6d44ddc590f8b4b45f61e954ab170241b,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/wx/wx_frontend.py,602,55,55.0,91.36212624584718
core,ipython,old_2000s,0.10.1,fee5232d23acc4d98636d02d0640dfb764911124,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/process/__init__.py,19,0,0.0,0.0
core,ipython,old_2000s,0.10.1,1b65b8a64b7d2480b6c692e39746f1b080cb4b87,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/process/killableprocess.py,184,8,8.0,43.47826086956522
core,ipython,old_2000s,0.10.1,5506faf0680795698caa46831df0353858de63b5,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/process/pipedprocess.py,74,5,5.0,67.56756756756756
