subset,group,repo_count,file_count,loc_total,block_count,blocks_per_file,blocks_per_kloc,inline_block_count,full_line_singleton_block_count,full_line_block_block_count,inline_block_ratio,full_line_singleton_block_ratio,full_line_block_block_ratio,mean_repo_blocks_per_file,median_repo_blocks_per_file,mean_repo_blocks_per_kloc,median_repo_blocks_per_kloc,mean_repo_inline_block_ratio,median_repo_inline_block_ratio,mean_repo_full_line_singleton_block_ratio,median_repo_full_line_singleton_block_ratio,mean_repo_full_line_block_block_ratio,median_repo_full_line_block_block_ratio
core,new_2020s,8,615,150458,3304,5.3723577235772355,21.95961663720108,994,1691,619,0.3008474576271186,0.5118038740920097,0.18734866828087168,6.739093515015647,5.723076923076922,32.23719791917212,30.1260057805009,0.30815166275555694,0.27314814814814814,0.4664543870400986,0.42771256799312907,0.22539395020434447,0.19275910211778358
core,old_2000s,8,672,196926,8636,12.851190476190476,43.85403654164509,1058,4597,2981,0.12251042149143122,0.5323066234367763,0.3451829550717925,11.943385110502263,11.516711229946523,42.39373609250838,39.995423443386414,0.15632193644407025,0.10441008834425762,0.581972274017484,0.575395256916996,0.2617057895384458,0.2555097451274363
