column_name
subset
repo
group
release
release_date
directory_id
snapshot_root
path_rel
file_id
block_id
block_kind
start_lineno
end_lineno
indent_col
n_lines
is_singleton
member_linenos
member_cols
member_texts
member_raw_tokens
member_line_texts
block_text_raw
block_text_stripped
block_char_len
block_word_len
sb_is_shebang
lh_has_spdx
lh_has_copyright
lh_has_license_word
lh_has_all_rights_reserved
lh_has_permission_granted
lh_has_redistribution_and_use
lh_has_warranty_disclaimer
lh_has_license_family_mention
lh_has_legal_signal
lh_number_of_unique_signals
lh_kinds
am_has_todo
am_has_fixme
am_has_xxx
am_has_hack
am_has_bug
am_has_note
am_has_annotation_marker
am_number_of_unique_markers
am_kinds
td_has_pragma
td_has_noqa
td_has_type_ignore
td_has_pylint
td_has_mypy
td_has_fmt
td_has_encoding
td_has_tooling_directive
td_number_of_unique_directives
td_kinds
lf_has_punctuation_end
lf_ends_with_period
lf_is_question
lf_is_exclamation
lf_is_all_caps
lf_starts_with_lowercase
lf_starts_with_imperative_verb
lf_starts_with_descriptive_verb
lf_has_no_alphanumeric
lf_is_empty
lf_is_separator
lf_has_url
lf_has_number
lf_has_emoticon
lf_has_parentheses
lf_emoticons_found
lf_has_linguistic_feature
lf_number_of_features_true
lf_kinds
