subset,group,repo_count,total_blocks,inline_blocks,full_line_singleton_blocks,full_line_block_blocks,inline_block_ratio,full_line_singleton_block_ratio,full_line_block_ratio,mean_repo_inline_block_ratio,median_repo_inline_block_ratio,mean_repo_full_line_singleton_block_ratio,median_repo_full_line_singleton_block_ratio,mean_repo_full_line_block_ratio,median_repo_full_line_block_ratio,mean_repo_mean_block_char_len,median_repo_mean_block_char_len,mean_repo_median_block_char_len,median_repo_median_block_char_len,mean_repo_mean_block_word_len,median_repo_mean_block_word_len,mean_repo_median_block_word_len,median_repo_median_block_word_len,mean_repo_mean_inline_block_char_len,median_repo_mean_inline_block_char_len,mean_repo_mean_full_line_singleton_char_len,median_repo_mean_full_line_singleton_char_len,mean_repo_mean_full_line_block_char_len,median_repo_mean_full_line_block_char_len,mean_repo_mean_inline_block_word_len,median_repo_mean_inline_block_word_len,mean_repo_mean_full_line_singleton_word_len,median_repo_mean_full_line_singleton_word_len,mean_repo_mean_full_line_block_word_len,median_repo_mean_full_line_block_word_len
core,new_2020s,8,3304,994,1691,619,0.3008474576271186,0.5118038740920097,0.18734866828087168,0.30815166275555694,0.27314814814814814,0.4664543870400986,0.42771256799312907,0.22539395020434447,0.19275910211778358,62.95644465572087,54.82988105599072,39.75,36.5,10.036516058539155,8.970390919640266,6.375,5.0,19.62054395993679,19.6031746031746,43.89305263146274,42.893709151745654,159.62319193697337,148.77978481887277,2.831252403877232,2.8124235006119953,7.2022867234255905,7.298269683865627,25.364890339739,24.6169239565466
core,old_2000s,8,8636,1058,4597,2981,0.12251042149143122,0.5323066234367763,0.3451829550717925,0.15632193644407025,0.10441008834425762,0.581972274017484,0.575395256916996,0.2617057895384458,0.2555097451274363,74.87494028131553,60.941145218417944,42.25,42.0,11.664320089810921,9.79085875050239,6.75,6.5,23.217629842094148,23.625,35.765149315504445,37.21584415584415,164.29455747421292,138.04043600562588,4.014319048385363,4.060651379195746,5.761942492981696,5.884155844155844,25.237222111452418,20.870533073009113
