subset,group,repo_count,file_count,loc_total,docstring_count,docstrings_per_file,docstrings_per_kloc,module_docstring_count,class_docstring_count,function_docstring_count,module_docstring_ratio,class_docstring_ratio,function_docstring_ratio,mean_repo_docstrings_per_file,median_repo_docstrings_per_file,mean_repo_docstrings_per_kloc,median_repo_docstrings_per_kloc,mean_repo_module_docstring_ratio,median_repo_module_docstring_ratio,mean_repo_class_docstring_ratio,median_repo_class_docstring_ratio,mean_repo_function_docstring_ratio,median_repo_function_docstring_ratio
core,new_2020s,8,615,150458,5142,8.360975609756098,34.17565034760531,199,1027,3728,0.03870089459354337,0.19972773239984443,0.7250097238428627,5.182210630309446,4.639344262295082,24.85367940193951,22.519825796740882,0.052558591077053206,0.033516483516483515,0.2437256312958724,0.22301147605856747,0.6965116084057378,0.7329670641713771
core,old_2000s,8,672,196926,5065,7.537202380952381,25.720321338980128,489,820,3756,0.09654491609081935,0.16189536031589338,0.7415597235932873,6.9578873351129715,7.162098930481283,26.993698124536905,24.751363685539502,0.10468467769075623,0.09716040918615956,0.18176949812133172,0.13642009021583024,0.713545824187912,0.7736707107747522
