subset,group,repo_count,total_blocks,inline_blocks,full_line_singleton_blocks,full_line_block_blocks,inline_punctuation_end_blocks,full_line_singleton_punctuation_end_blocks,full_line_block_punctuation_end_blocks,inline_ends_with_period_blocks,full_line_singleton_ends_with_period_blocks,full_line_block_ends_with_period_blocks,inline_question_blocks,full_line_singleton_question_blocks,full_line_block_question_blocks,inline_exclamation_blocks,full_line_singleton_exclamation_blocks,full_line_block_exclamation_blocks,punctuation_end_blocks,ends_with_period_blocks,question_blocks,exclamation_blocks,all_caps_blocks,starts_with_lowercase_blocks,starts_with_imperative_verb_blocks,starts_with_descriptive_verb_blocks,no_alphanumeric_blocks,empty_blocks,separator_blocks,url_blocks,number_blocks,emoticon_blocks,parentheses_blocks,linguistic_feature_blocks,punctuation_end_block_ratio,ends_with_period_block_ratio,question_block_ratio,exclamation_block_ratio,all_caps_block_ratio,starts_with_lowercase_block_ratio,starts_with_imperative_verb_block_ratio,starts_with_descriptive_verb_block_ratio,no_alphanumeric_block_ratio,empty_block_ratio,separator_block_ratio,url_block_ratio,number_block_ratio,emoticon_block_ratio,parentheses_block_ratio,linguistic_feature_block_ratio,emoticon_instance_count,unique_emoticons_count,unique_emoticons
core,new_2020s,8,2560,350,1646,564,39,423,390,39,414,387,0,6,1,0,3,2,852,840,7,5,20,333,359,61,71,70,1,52,214,1,266,1680,0.3328125,0.328125,0.002734375,0.001953125,0.0078125,0.130078125,0.140234375,0.023828125,0.027734375,0.02734375,0.000390625,0.0203125,0.08359375,0.000390625,0.10390625,0.65625,0,0,
core,old_2000s,8,7682,1027,4230,2425,62,830,1292,38,766,1269,10,41,11,14,23,12,2184,2073,62,49,20,3187,829,320,127,40,87,34,575,21,1214,5970,0.28430096329080967,0.269851601145535,0.00807081489195522,0.006378547253319448,0.0026034886748242643,0.41486592033324654,0.10791460557146576,0.04165581879718823,0.01653215308513408,0.005206977349648529,0.01132517573548555,0.0044259307472012495,0.0748502994011976,0.0027336631085654777,0.15803176256183285,0.777141369435043,0,0,
